Listing Title,Monthly Costs,Availability,Size,Deposit,Key Price,Floor,Year Built,Nearest Station
"1K APARTMENT
IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO","Monthly Costs ¥95,000 negotiable",Available Now,Size 24.00 m²,"Deposit ¥100,000",Key Money ¥0,Floor 2 / 10F,Year Built 2018,Nearest Station Otsuka Station (5 min. walk)
"2LDK APARTMENT
IN KAMIOCHIAI
SHINJUKU-KU, TOKYO","Monthly Costs ¥157,000","Available From Feb 27, 2021",Size 38.00 m²,"Deposit ¥155,000",Key Money ¥0,Floor 4 / 4F,Year Built 1980,Nearest Station Ochiai Station (2 min. walk)
"1R APARTMENT
IN TAKADA
TOSHIMA-KU, TOKYO","Monthly Costs ¥65,000",Available Now,Size 15.00 m²,Deposit ¥0,"Key Money ¥62,000",Floor 2 / 2F,Year Built 1988,Nearest Station Omokagebashi Station (3 min. walk)
"1K APARTMENT
IN MUKOJIMA
SUMIDA-KU, TOKYO","Monthly Costs ¥200,000 negotiable",Available Now,Size 25.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 5F,Year Built 2018,Nearest Station Oshiage Station (6 min. walk)
"3SLDK APARTMENT
IN ICHIGAYACHOENJIMACHI
SHINJUKU-KU, TOKYO","Monthly Costs ¥288,000 negotiable",Available Now,Size 96.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 3F,Year Built 1990,Nearest Station Ichigaya Station (3 min. walk)
"1K APARTMENT
IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO","Monthly Costs ¥57,000","Available From Mar 10, 2021",Size 16.74 m²,Deposit ¥0,"Key Money ¥55,000",Floor 10 / 12F,Year Built 1994,Not Available
"2DK HOUSE
IN KIYOKAWA
TAITO-KU, TOKYO","Monthly Costs ¥130,000",Available Now,Size 33.00 m²,"Deposit ¥130,000",Key Money ¥0,Not Available,Year Built 2020,Nearest Station Minamisenju Station (14 min. walk)
"1DK APARTMENT
IN TAKADANOBABA
SHINJUKU-KU, TOKYO","Monthly Costs ¥142,000","Available From Feb 27, 2021",Size 25.00 m²,"Deposit ¥140,000",Key Money ¥0,Floor 5 / 5F,Year Built 1984,Nearest Station Takadanobaba Station (2 min. walk)
"SHARED APARTMENT
IN HAKUSAN(2-5-CHOME)
BUNKYO-KU, TOKYO","Monthly Costs ¥86,000",Available Now,Size 0.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 9F,Year Built 2018,Nearest Station Hakusan Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥76,900",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1988,Nearest Station Azabu-juban Station (4 min. walk)
"1LDK SERVICED APARTMENT
IN YOYOGI
SHIBUYA-KU, TOKYO","Monthly Costs ¥166,500","Available From Apr 1, 2021",Size 39.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 7F,Year Built 1983,Nearest Station Sangubashi Station (6 min. walk)
"SHARED GUESTHOUSE
IN SHIRAITODAI
FUCHU-SHI, TOKYO","Monthly Costs ¥60,000",Available Now,Size 13.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 4F,Year Built 1995,Nearest Station Musashinodai Station (5 min. walk)
"SHARED APARTMENT
IN HAKUSAN(2-5-CHOME)
BUNKYO-KU, TOKYO","Monthly Costs ¥115,000",Available Now,Size 0.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 9F,Year Built 2018,Nearest Station Hakusan Station (5 min. walk)
"PRIVATE APARTMENT
IN HAKUSAN(2-5-CHOME)
BUNKYO-KU, TOKYO","Monthly Costs ¥150,000",Available Now,Size 12.21 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 9F,Year Built 2018,Nearest Station Hakusan Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"SHARED GUESTHOUSE
IN SHAKUJIIDAI
NERIMA-KU, TOKYO","Monthly Costs ¥58,000",Available Now,Size 9.31 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2015,Nearest Station Oizumigakuen Station (12 min. walk)
"1K APARTMENT
IN KANDANISHIKICHO
CHIYODA-KU, TOKYO","Monthly Costs ¥260,000 negotiable",Available Now,Size 28.00 m²,"Deposit ¥120,000",Key Money ¥0,Floor 3 / 13F,Year Built 2018,Nearest Station Otemachi Station (5 min. walk)
"1K APARTMENT
IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO","Monthly Costs ¥200,000",Available Now,Size 25.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 7F,Year Built 2018,Nearest Station Uguisudani Station (6 min. walk)
"1R APARTMENT
IN SHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥220,000 negotiable",Available Now,Size 30.00 m²,"Deposit ¥100,000",Key Money ¥0,Floor 8 / 8F,Year Built 2005,Nearest Station Shinjukusanchoume Station (2 min. walk)
"PRIVATE SERVICED APARTMENT
IN YOYOGI
SHIBUYA-KU, TOKYO","Monthly Costs ¥74,900","Available From Mar 25, 2021",Size 10.00 m²,Deposit ¥0,Key Money ¥0,Floor 7 / 7F,Year Built 1983,Nearest Station Sangubashi Station (6 min. walk)
"1R SERVICED APARTMENT
IN YOYOGI
SHIBUYA-KU, TOKYO","Monthly Costs ¥107,000",Available Now,Size 20.00 m²,Deposit ¥0,Key Money ¥0,Floor 6 / 7F,Year Built 1983,Nearest Station Sangubashi Station (6 min. walk)
"1DK APARTMENT
IN WAKABA
SHINJUKU-KU, TOKYO","Monthly Costs ¥250,000 negotiable","Available From Jun 1, 2021",Size 35.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1963,Nearest Station Yotsuya Station (10 min. walk)
"SHARED GUESTHOUSE
IN OMORINISHI
OTA-KU, TOKYO","Monthly Costs ¥64,000",Available Now,Size 9.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 4F,Year Built 1995,Nearest Station Heiwajima Station (5 min. walk)
"PRIVATE SERVICED APARTMENT
IN YOYOGI
SHIBUYA-KU, TOKYO","Monthly Costs ¥71,900","Available From Apr 1, 2021",Size 9.00 m²,Deposit ¥0,Key Money ¥0,Floor 7 / 7F,Year Built 1983,Nearest Station Sangubashi Station (6 min. walk)
"1K APARTMENT
IN UEHARA
SHIBUYA-KU, TOKYO","Monthly Costs ¥66,000",Available Now,Size 19.80 m²,"Deposit ¥64,000","Key Money ¥64,000",Floor 2 / 2F,Year Built 1987,Nearest Station Higashikitazawa Station (4 min. walk)
"1R APARTMENT
IN WAKAMIYA
NAKANO-KU, TOKYO","Monthly Costs ¥43,000","Available From Mar 25, 2021",Size 14.91 m²,Deposit ¥0,"Key Money ¥43,000",Floor 2 / 2F,Year Built 1988,Nearest Station Nogata Station (4 min. walk)
"SHARED GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥106,000",Available Now,Size 18.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"2DK APARTMENT
IN MUKODAICHO
NISHITOKYO-SHI, TOKYO","Monthly Costs ¥66,000",Available Now,Size 40.38 m²,Deposit ¥0,Key Money ¥0,Floor 10 / 11F,Year Built 1973,Nearest Station Tanashi Station (15 min. walk)
"1K APARTMENT
IN WAKAMATSUCHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥135,000 negotiable",Available Now,Size 28.00 m²,"Deposit ¥100,000",Key Money ¥0,Floor 6 / 8F,Year Built 1982,Nearest Station Wakamatsu Kawada Station (1 min. walk)
"2DK APARTMENT
IN KITAUENO
TAITO-KU, TOKYO","Monthly Costs ¥210,000 negotiable",Available Now,Size 40.66 m²,"Deposit ¥100,000",Key Money ¥0,Floor 3 / 8F,Year Built 1983,Nearest Station Inaricho Station (9 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"2K APARTMENT
IN GOCHICHO
AKISHIMA-SHI, TOKYO","Monthly Costs ¥45,000",Available Now,Size 28.98 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 4F,Year Built 1968,Nearest Station Nishitachikawa Station (18 min. walk)
"1K APARTMENT
IN NISHISHINJUKU
SHINJUKU-KU, TOKYO","Monthly Costs ¥150,000 negotiable",Available Now,Size 25.00 m²,"Deposit ¥100,000",Key Money ¥0,Floor 5 / 13F,Year Built 1983,Nearest Station Nishi-shinjuku Station (6 min. walk)
"3DK APARTMENT
IN NINOMIYA
AKIRUNO-SHI, TOKYO","Monthly Costs ¥55,000",Available Now,Size 57.96 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 5F,Year Built 1969,Nearest Station Higashiakiru Station (9 min. walk)
"3DK APARTMENT
IN YASHIO
SHINAGAWA-KU, TOKYO","Monthly Costs ¥146,000",Available Now,Size 61.62 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 14F,Year Built 1984,Nearest Station Shinagawa Seaside Station (11 min. walk)
"2LDK APARTMENT
IN SHIOMI
KOTO-KU, TOKYO","Monthly Costs ¥164,000",Available Now,Size 64.87 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 14F,Year Built 1997,Nearest Station Shiomi Station (4 min. walk)
"1K APARTMENT
IN YAKUMO
MEGURO-KU, TOKYO","Monthly Costs ¥55,000",Available Now,Size 20.60 m²,Deposit ¥0,"Key Money ¥55,000",Floor 2 / 2F,Year Built 1975,Nearest Station Toritsu-daigaku Station (7 min. walk)
"1LDK APARTMENT
IN SHIBUYA
SHIBUYA-KU, TOKYO","Monthly Costs ¥400,000",Available Now,Size 48.28 m²,"Deposit ¥380,000","Key Money ¥380,000",Floor 14 / 15F,Year Built 2020,Nearest Station Shibuya Station (1 min. walk)
"3DK APARTMENT
IN KAIGAN(3-CHOME)
MINATO-KU, TOKYO","Monthly Costs ¥167,000",Available Now,Size 60.58 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 12F,Year Built 1993,Nearest Station Shibaura Futou Station (4 min. walk)
"3DK APARTMENT
IN KOBIKIMACHI
HACHIOJI-SHI, TOKYO","Monthly Costs ¥62,000",Available Now,Size 49.20 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 5F,Year Built 1964,Nearest Station Yamada Station (3 min. walk)
"1K APARTMENT
IN MINAMIAOYAMA
MINATO-KU, TOKYO","Monthly Costs ¥129,000",Available Now,Size 24.57 m²,"Deposit ¥105,000",Key Money ¥0,Floor 1 / 3F,Year Built 1991,Nearest Station Gaien Mae Station (7 min. walk)
"3LDK HOUSE
IN SEIJO
SETAGAYA-KU, TOKYO","Monthly Costs ¥340,000","Available From Mar 1, 2021",Size 102.24 m²,"Deposit ¥680,000","Key Money ¥340,000",Not Available,Year Built 2021,Nearest Station Seijougakuen Mae Station (10 min. walk)
"1LDK APARTMENT
IN KUDANKITA
CHIYODA-KU, TOKYO","Monthly Costs ¥700,000",Available Now,Size 124.94 m²,"Deposit ¥2,100,000",Key Money ¥0,Floor 25 / 26F,Year Built 2006,Nearest Station Kudanshita Station (1 min. walk)
"1R APARTMENT
IN EBISU
SHIBUYA-KU, TOKYO","Monthly Costs ¥105,000 negotiable",Available Now,Size 15.30 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 1F,Year Built 1994,Nearest Station Ebisu Station (11 min. walk)
"1R APARTMENT
IN SHIMOMEGURO
MEGURO-KU, TOKYO","Monthly Costs ¥115,800","Available From Feb 28, 2021",Size 18.23 m²,"Deposit ¥72,000",Key Money ¥0,Floor 9 / 10F,Year Built 1985,Nearest Station Meguro Station (8 min. walk)
"1K APARTMENT
IN HOMMACHI
SHIBUYA-KU, TOKYO","Monthly Costs ¥120,000","Available From Mar 6, 2021",Size 13.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 2017,Nearest Station Nishishinjuku Go Choume Station (8 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1R APARTMENT
IN NOGATA
NAKANO-KU, TOKYO","Monthly Costs ¥57,000",Available Now,Size 11.00 m²,"Deposit ¥65,000","Key Money ¥65,000",Floor 2 / 3F,Year Built 2016,"Nearest Station 10 min. walk to the nearest bus stop, then 7 min. by bus to Nogata Station"
"1K APARTMENT
IN NISHINIPPORI
ARAKAWA-KU, TOKYO","Monthly Costs ¥60,000",Available Now,Size 14.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 4F,Year Built 2017,Nearest Station Nishinippori Station (4 min. walk)
"PRIVATE APARTMENT
IN TAKADA
TOSHIMA-KU, TOKYO","Monthly Costs ¥22,000",Available Now,Size 2.20 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 5F,Year Built 2016,Nearest Station Gakushuinshita Station (4 min. walk)
"1K APARTMENT
IN SANNO
OTA-KU, TOKYO","Monthly Costs ¥129,100","Available From Mar 14, 2021",Size 25.84 m²,"Deposit ¥98,000",Key Money ¥0,Floor 1 / 1F,Year Built 2017,Nearest Station Omori Station (7 min. walk)
"2LDK APARTMENT
IN NARITAHIGASHI
SUGINAMI-KU, TOKYO","Monthly Costs ¥172,000","Available From Apr 10, 2021",Size 55.20 m²,"Deposit ¥170,000",Key Money ¥0,Floor 1 / 6F,Year Built 1970,Nearest Station Minami Asagaya Station (2 min. walk)
"1K APARTMENT
IN AOTO
KATSUSHIKA-KU, TOKYO","Monthly Costs ¥78,000",Available Now,Size 17.50 m²,Deposit ¥0,Key Money ¥0,Floor 4 / 4F,Year Built 1974,Nearest Station Kameari Station (10 min. walk)
"1R APARTMENT
IN KAMEARI
KATSUSHIKA-KU, TOKYO","Monthly Costs ¥44,000 negotiable","Available From Mar 1, 2021",Size 15.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1985,Nearest Station Kameari Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥69,800","Available From Jun 1, 2021",Size 9.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1988,Nearest Station Azabu-juban Station (4 min. walk)
"PRIVATE GUESTHOUSE
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥81,900","Available From Jun 2, 2021",Size 18.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1988,Nearest Station Azabu-juban Station (4 min. walk)
"2LDK APARTMENT
IN KAMIOCHIAI
SHINJUKU-KU, TOKYO","Monthly Costs ¥142,000","Available From Feb 27, 2021",Size 40.00 m²,"Deposit ¥140,000",Key Money ¥0,Floor 3 / 4F,Year Built 1980,Nearest Station Ochiai Station (2 min. walk)
"PRIVATE GUESTHOUSE
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥69,800","Available From Mar 17, 2021",Size 8.00 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 1988,Nearest Station Azabu-juban Station (4 min. walk)
"PRIVATE GUESTHOUSE
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥69,800","Available From Jun 1, 2021",Size 9.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1988,Nearest Station Azabu-juban Station (4 min. walk)
"1K APARTMENT
IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO","Monthly Costs ¥125,000 negotiable",Available Now,Size 24.00 m²,"Deposit ¥100,000",Key Money ¥0,Floor 7 / 11F,Year Built 2018,Nearest Station Otsuka Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN SHINKAWA
CHUO-KU, TOKYO","Monthly Costs ¥130,000 negotiable",Available Now,Size 22.00 m²,"Deposit ¥100,000",Key Money ¥0,Floor 9 / 10F,Year Built 2001,Nearest Station Kayabacho Station (7 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥76,900","Available From Jun 14, 2021",Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 1988,Nearest Station Azabu-juban Station (4 min. walk)
"2LDK SERVICED APARTMENT
IN JINGUMAE
SHIBUYA-KU, TOKYO","Monthly Costs ¥540,000",Available Now,Size 69.00 m²,"Deposit ¥200,000",Key Money ¥0,Floor 3 / 5F,Year Built 1968,Nearest Station Kita Sandou Station (7 min. walk)
"1R APARTMENT
IN YANAGIBASHI
TAITO-KU, TOKYO","Monthly Costs ¥120,000 negotiable",Available Now,Size 25.10 m²,"Deposit ¥100,000",Key Money ¥0,Floor 2 / 2F,Year Built 1976,Nearest Station Asakusabashi Station (2 min. walk)
"1R APARTMENT
IN NAKANO
NAKANO-KU, TOKYO","Monthly Costs ¥60,000",Available Now,Size 10.02 m²,"Deposit ¥57,000","Key Money ¥57,000",Floor 2 / 2F,Year Built 2006,Nearest Station Higashi Koenji Station (9 min. walk)
"SHARED GUESTHOUSE
IN HIGASHIIKEBUKURO
TOSHIMA-KU, TOKYO","Monthly Costs ¥83,000",Available Now,Size 9.00 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 3F,Year Built 2017,Nearest Station Higashiikebukuro Station (3 min. walk)
"1K APARTMENT
IN MITA
MINATO-KU, TOKYO","Monthly Costs ¥150,000",Available Now,Size 25.80 m²,Deposit ¥0,Key Money ¥0,Floor 11 / 15F,Year Built 2016,Nearest Station Azabu-juban Station (10 min. walk)
"1K APARTMENT
IN KOMAGOME
TOSHIMA-KU, TOKYO","Monthly Costs ¥125,000",Available Now,Size 26.20 m²,Deposit ¥0,Key Money ¥0,Floor 7 / 11F,Year Built 2020,Nearest Station Komagome Station (3 min. walk)
"SHARED APARTMENT
IN FUJIMIDAI
KUNITACHI-SHI, TOKYO","Monthly Costs ¥64,000",Available Now,Size 8.00 m²,Deposit ¥0,Key Money ¥0,Floor 5 / 5F,Year Built 1966,Nearest Station Yaho Station (4 min. walk)
"1K APARTMENT
IN KAMISHAKUJII
NERIMA-KU, TOKYO","Monthly Costs ¥72,000",Available Now,Size 23.61 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2007,Nearest Station Kamishakujii Station (10 min. walk)
"2DK APARTMENT
IN YAMABUKICHO
SHINJUKU-KU, TOKYO","Monthly Costs ¥142,000","Available From Mar 30, 2021",Size 25.74 m²,Deposit ¥0,"Key Money ¥127,000",Floor 3 / 6F,Year Built 2019,Nearest Station Edogawabashi Station (5 min. walk)
"1K APARTMENT
IN CHUO
OTA-KU, TOKYO","Monthly Costs ¥85,000",Available Now,Size 21.11 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 4F,Year Built 2019,Nearest Station Kamata Station (15 min. walk)
"1K APARTMENT
IN KOMAGOME
TOSHIMA-KU, TOKYO","Monthly Costs ¥122,000",Available Now,Size 26.20 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 11F,Year Built 2020,Nearest Station Komagome Station (3 min. walk)
"1DK APARTMENT
IN OKUSAWA
SETAGAYA-KU, TOKYO","Monthly Costs ¥122,550","Available From Jun 14, 2021",Size 22.01 m²,Deposit ¥0,Key Money ¥0,Floor 3 / 3F,Year Built 2020,Nearest Station Kuhonbutsu Station (5 min. walk)
"1K APARTMENT
IN SHIROKANE
MINATO-KU, TOKYO","Monthly Costs ¥95,000",Available Now,Size 19.87 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 3F,Year Built 2011,Nearest Station Shirokane-takanawa Station (11 min. walk)
"1K APARTMENT
IN KITAZAWA
SETAGAYA-KU, TOKYO","Monthly Costs ¥131,000",Available Now,Size 25.46 m²,Deposit ¥0,"Key Money ¥116,000",Floor 3 / 4F,Year Built 2018,Nearest Station Higashikitazawa Station (5 min. walk)
"PRIVATE GUESTHOUSE
IN SHIMOTAKAIDO
SUGINAMI-KU, TOKYO","Monthly Costs ¥140,000",Available Now,Size 12.00 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 8F,Year Built 2019,Nearest Station Kamikitazawa Station (5 min. walk)
"1K APARTMENT
IN NARITAHIGASHI
SUGINAMI-KU, TOKYO","Monthly Costs ¥90,000",Available Now,Size 26.08 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 2F,Year Built 2008,Nearest Station Minami Asagaya Station (11 min. walk)
"1K APARTMENT
IN KAMIIKEDAI
OTA-KU, TOKYO","Monthly Costs ¥91,000",Available Now,Size 21.24 m²,Deposit ¥0,Key Money ¥0,Floor 1 / 2F,Year Built 2016,Nearest Station Nagahara Station (5 min. walk)
"1K APARTMENT
IN SASAZUKA
SHIBUYA-KU, TOKYO","Monthly Costs ¥92,000","Available From Mar 4, 2021",Size 20.28 m²,Deposit ¥0,Key Money ¥0,Floor 2 / 3F,Year Built 2004,Nearest Station Sasazuka Station (9 min. walk)
"1K APARTMENT
IN HONCHO
ITABASHI-KU, TOKYO","Monthly Costs ¥104,500",Available Now,Size 25.62 m²,Deposit ¥0,Key Money ¥0,Floor 6 / 7F,Year Built 2021,Nearest Station Itabashi Honchou Station (5 min. walk)
"1K APARTMENT
IN HIGASHIKANDA
CHIYODA-KU, TOKYO","Monthly Costs ¥139,500",Available Now,Size 25.83 m²,Deposit ¥0,Key Money ¥0,Floor 9 / 12F,Year Built 2020,Nearest Station Asakusabashi Station (5 min. walk)
"1K APARTMENT
IN HIGASHIKANDA
CHIYODA-KU, TOKYO","Monthly Costs ¥139,000",Available Now,Size 25.83 m²,Deposit ¥0,Key Money ¥0,Floor 8 / 12F,Year Built 2020,Nearest Station Asakusabashi Station (5 min. walk)
"1K APARTMENT
IN HONCHO
ITABASHI-KU, TOKYO","Monthly Costs ¥105,000",Available Now,Size 25.62 m²,Deposit ¥0,Key Money ¥0,Floor 6 / 7F,Year Built 2021,Nearest Station Itabashi Honchou Station (5 min. walk)
